abs_r,r,var1,var2
0.04047950648376078,-0.04047950648376078,Interval_farrows,Cull_rate_annual
0.040192242645274566,0.040192242645274566,Litters_female_year,Born_alive_avg
0.039786621060469735,-0.039786621060469735,Litters_female_year,final_inventory
0.03948576334959395,0.03948576334959395,Pre_weaning_mortality,HeadIn
0.03924569290817991,0.03924569290817991,Gestation_days,Sow_Death_rate
0.039204830832936646,-0.039204830832936646,Total_born_avg,services_per_inventory_N_rate
0.039203851960122806,-0.039203851960122806,PWMFyear,final_inventory
0.03900366772071587,-0.03900366772071587,PWMFyear,repeats__rate
0.03834840643178826,0.03834840643178826,Pre_weaning_mortality,pregnant_105days_rate
0.038253785088639844,-0.038253785088639844,Litters_female_year,repeats__rate
0.03757802265441513,0.03757802265441513,Avg_parity_farrow,Total_born_avg
0.03751694868586659,0.03751694868586659,Born_alive_avg,Cull_rate_annual
0.03727004639193177,-0.03727004639193177,Gestation_days,repeats__rate
0.03717425876968769,-0.03717425876968769,PWMFyear,prenatal_losses_avg
0.03711779841112386,0.03711779841112386,Litters_female_year,PWSow
0.03671571174093006,0.03671571174093006,avg_parity_at_farrow,Lactation_days
0.03586095356696227,-0.03586095356696227,Mummies_avg,Cull_rate_annual
0.035731985821156824,0.035731985821156824,Gestation_days,services_per_inventory_N_rate
0.035548982481778485,0.035548982481778485,services_per_inventory_N_rate,Sow_Death_rate
0.03552710196427291,0.03552710196427291,Gestation_days,Last_week_wean_bred_rate
0.03528971381044943,-0.03528971381044943,Litters_female_year,prenatal_losses_avg
0.03470261906308092,0.03470261906308092,prenatal_losses_avg,Gestation_days
0.0342690928461112,-0.0342690928461112,number_services,Interval_farrows
0.03395380538917372,-0.03395380538917372,Interval_farrows,Pre_weaning_mortality
0.03384781321301501,0.03384781321301501,PWSow,Cull_rate_annual
0.03378244597740452,-0.03378244597740452,Litters_female_year,Lactation_days
0.03297335251496573,0.03297335251496573,Cull_rate_annual,Farrowing__rate
0.03261430349767875,-0.03261430349767875,nonproductive_days,Gestation_days
0.03256934403888453,0.03256934403888453,Gestation_days,productive_days_rate
0.03189559944823557,-0.03189559944823557,Litters_female_year,HeadIn
0.03184276547558316,0.03184276547558316,PWSow,Lactation_days
0.03152002410010728,-0.03152002410010728,Avg_parity_farrow,abortions_rate
0.030785453189863286,-0.030785453189863286,PWMFyear,Lactation_days
0.029707207581381876,0.029707207581381876,Gestation_days,HeadIn
0.029634130419361693,0.029634130419361693,number_services,avg_parity_at_farrow
0.02873039918318234,-0.02873039918318234,Mummies_avg,Gestation_days
0.02867567092059299,-0.02867567092059299,abortions_rate,PWSow
0.02858831778585478,-0.02858831778585478,PWMFyear,Last_week_wean_bred_rate
0.026514859877961077,-0.026514859877961077,abortions_rate,Pre_weaning_mortality
0.026007344883360824,-0.026007344883360824,prenatal_losses_avg,Cull_rate_annual
0.02573901503507842,0.02573901503507842,PWMFyear,Total_born_avg
0.025301479678311,-0.025301479678311,mated_inventory_20wks,Sow_Death_rate
0.024599164121336104,0.024599164121336104,Total_born_avg,Cull_rate_annual
0.024426659862411243,0.024426659862411243,pregnant_105days_rate,Cull_rate_annual
0.023198978895462213,-0.023198978895462213,Cull_rate_annual,Lactation_days
0.023053213934399762,-0.023053213934399762,abortions_rate,Gestation_days
0.022963461292522015,0.022963461292522015,Last_week_wean_bred_rate,Sow_Death_rate
0.022534323004347205,-0.022534323004347205,PWMFyear,Cull_rate_annual
0.02247374661093888,-0.02247374661093888,number_services,Sow_Death_rate
0.02237435861712538,0.02237435861712538,PWMFyear,PWSow
0.022226280957133925,0.022226280957133925,Cull_rate_annual,avg_parity_at_farrow
0.022136662562152305,-0.022136662562152305,Pre_weaning_mortality,Sow_Death_rate
0.02181220561731336,0.02181220561731336,Cull_rate_annual,HeadIn
0.02162673406636091,0.02162673406636091,Pre_weaning_mortality,Cull_rate_annual
0.02128928071429938,-0.02128928071429938,PWMFyear,productive_days_rate
0.021234157546308908,-0.021234157546308908,number_services,Cull_rate_annual
0.021214218376072486,0.021214218376072486,PWMFyear,nonproductive_days
0.0210512008581733,0.0210512008581733,abortions_rate,Interval_farrows
